📢更新公告0530,#genre#
5月30日更新1000+频道,http://live1.gatv.com.cn:85/live/XWZH.m3u8
本软件作为学习使用,http://stream.hrbtv.net/xwzh/sd/live.m3u8
免费分享学习,http://live.ahsz.tv/video/s10001-szzh/index.m3u8
避免失联加微信,http://live.dxhmt.cn:9081/tv/10225-1.m3u8
方便软件变故微信通知,http://tvpull.dxhmt.cn:9081/tv/10225-1.m3u8
🔥MX008855,http://live.dxhmt.cn:9081/tv/10522-1.m3u8
建议大家给家里,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8
路由器光猫设置IPV6,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8?zzhed
可观看IPV6,http://play.cec-tv.com.cn/channel/cec-tv2.m3u8
超级稳定高清频道,http://live.cztv.cc:85/live/xwpd.m3u8
不懂设置可加微信,https://jwcdnqx.hebyun.com.cn/live/xxzhpd/1500k/tzwj_video.m3u8
免费资询,http://live.dxhmt.cn:9081/tv/10727-1.m3u8
如果看IPV4频道看不了,http://live.dxhmt.cn:9081/tv/10782-1.m3u8
很正常，主打频道多,http://stream.hrbtv.net/xwzh/sd/live.m3u8


🔥地方新闻频道,#genre#
广安新闻综合,http://live1.gatv.com.cn:85/live/XWZH.m3u8
广州新闻,https://tv.cry33.com/gztv.php?id=gzxw
桂林新闻,https://pull.gltvs.com:443/live/glxw/playlist.m3u8?v=b0528684bf934e120e1c30fc808e6576&t=1796868188
桂林新闻综合,https://pull.gltvs.com/live/glxw/playlist.m3u8?v=b0528684bf934e120e1c30fc808e6576&t=1796868188
哈尔滨新闻综合,http://stream.hrbtv.net/xwzh/sd/live.m3u8
哈尔滨新闻综合,http://stream.hrbtv.net/xwzh/sd/live.m3u8?zheild
邯郸新闻,https://jwliveqxzb.hebyun.com.cn/hdxwzh/hdxwzh.m3u8
河南｜巩义新闻,http://tvpull.dxhmt.cn:9081/tv/10181-1.m3u8?zhend
河南｜兰考新闻,http://tvpull.dxhmt.cn:9081/tv/10225-1.m3u8
河南郸城新闻综合,http://live.dxhmt.cn:9081/tv/11625-1.m3u8
河南兰考新闻,http://live.dxhmt.cn:9081/tv/10225-1.m3u8
CEC国际旅游,http://play.cec-tv.com.cn/channel/cec-tv2.m3u8
安徽肥西新闻,http://112.30.194.221:20080/live/7210e3a27cc64ac4a3f7aba2e2b683d5.flv
安徽宿州新闻综合,http://live.ahsz.tv/video/s10001-szzh/index.m3u8
安阳县新闻综合 ,http://live.dxhmt.cn:9081/tv/10522-1.m3u8
保定新闻,http://jwcdnqx.hebyun.com.cn/live/jybd/1500k/tzwj_video.m3u8
北海新闻,http://rtmp.gdlive.gdmain.com/live/09em4xbl.m3u8
滨海新闻,http://traffic.jbh.tjbh.com/live/bhtv1/playlist.m3u8
滨海新闻,http://traffic.jbh.tjbh.com/live/bhtv1/playlist.m3u8?ztianjd
滨海新闻综合,http://jsbh.chinashadt.com:2036/live/bh11.stream/playlist.m3u8?zjiangsd
苍南新闻综合,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8
苍南新闻综合,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8?zzhed
承德新闻,https://jwliveqxzb.hebyun.com.cn/cdsxwzhtv/cdsxwzhtv.m3u8
承德新闻综合,https://jwcdnqx.hebyun.com.cn/live/cdslywh/1500k/tzwj_video.m3u8
承德新闻综合,https://jwcdnqx.hebyun.com.cn/live/cdsxwzhtv/1500k/tzwj_video.m3u8
滁州新闻综合 ,http://live.cztv.cc:85/live/xwpd.m3u8
滁州新闻综合,http://live.cztv.cc:85/live/xwpd.m3u8?zanhd
达州新闻,http://tv.drs.dzxw.net:80/channellive/xwzhpd-dz1.flv
达州新闻综合,http://tv.drs.dzxw.net/channellive/xwzhpd-dz1.flv
德阳新闻综合,http://scdytv.cn:1935/live/m_xwpd_livevideo/playlist.m3u8
德阳新闻综合,http://scdytv.cn:1935/live/m_xwpd_livevideo/playlist.m3u8?zsicd
定州新闻,https://jwliveqxzb.hebyun.com.cn/xxzhpd/xxzhpd.m3u8
定州新闻综合 ,https://jwcdnqx.hebyun.com.cn/live/xxzhpd/1500k/tzwj_video.m3u8
范县新闻综合,http://live.dxhmt.cn:9080/13603832636/13abd3089d9c47058fe34c49a6182981.m3u8
封丘新闻综合 ,http://live.dxhmt.cn:9081/tv/10727-1.m3u8
封丘新闻综合 ,http://tvpull.dxhmt.cn:9081/tv/10727-1.m3u8
福建漳州新闻,http://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175.m3u8?zfud
赣榆新闻综合,http://ganyu-tv-hls.cm.jstv.com/ganyu-tv/ganyutv.m3u8?zjiangsd
赣州新闻,http://wb.jxgztv.com/live/gztv1.flv
巩义新闻综合 ,http://live.dxhmt.cn:9081/tv/10181-1.m3u8
固镇新闻,http://www.guzhenm.com:7001/hls/hd-live.m3u8?zanhd
灌阳新闻综合,https://lives.myun.tv:443/live/lx1reyg0.m3u8
黑水新闻综合,http://live.schstv.com:90/live/xwzh.m3u8
红河州新闻综合 ,http://file.hhtv.cc/cms/videos/nmip-media/channellive/channel1/playlist.m3u8
洪雅新闻综合,http://117.172.215.250:8083/videos/live/35/39/GQVbrgob5CGJM/GQVbrgob5CGJM.M3U8
滑县新闻 ,http://live.dxhmt.cn:9081/tv/10526-1.m3u8
滑县新闻 ,http://tvpull.dxhmt.cn:9081/tv/10526-1.m3u8
滑县新闻,http://tvpull.dxhmt.cn:9081/tv/10526-1.m3u8?zhend
