
央视,#genre#
CCTV-1 综合,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cctv1
CCTV-2 财经,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cctv2
CCTV-3 综艺,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cctv3
CCTV-4 中文国际,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cctv4
CCTV-5 体育,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cctv5
CCTV-6 电影,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cctv6
CCTV-7 国防军事,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cctv7
CCTV-8 电视剧,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cctv8
CCTV-9 纪录,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cctv9
CCTV-10 科教,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cctv10
CCTV-11 戏曲,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cctv11
CCTV-12 社会与法,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cctv12
CCTV-13 新闻,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cctv13
CCTV-14 少儿,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cctv14
CCTV-15 音乐,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cctv15
CCTV-16 奥林匹克,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cctv16
