*_**********_*天一免费直播源【资源分享群:716688848】*_*********_*
．．．．．．．．．．．．．．．．．．．．．．．．．
．．．．．．．．．★︵＿＿＿︵★．．．．．．．．．
．．．．．．．．．／　　　　　＼．．．．．．．．．
．．．．．．．．．︴●　　　●　︴．．．．．．．．
．．．．．．．．．︴≡　﹏　≡　︴．．．．．．．．
．．．．．．．．．＼＿＿＿＿＿／．．．．．．．．．
．．╭╧╮╭╧╮╭╧╮╭╧╮ ╭╧╮╭╧╮╭╧╮╭╧╮．．．．．．．
．．│                        资源分享群:716688848          ．．．．．．．
．．╘∞╛╘∞╛╘∞╛╘∞╛╘∞╛╘∞╛╘∞╛．．．．．．．
．．．．．．．．．．．．．．．．．．．．．．．．
//如果你抓包了获取到了直播源，请自用，别公开，谢谢！

📺通知📺,#genre# 
欢迎您的使用,http://www.qiqi.bf/xiaoqi/index.php?type=mp4
===========,http://www.qiqi.bf/xiaoqi/index.php?type=mp4
资源均来自网络,http://www.qiqi.bf/xiaoqi/index.php?type=mp4
请勿作商业用途,http://www.qiqi.bf/xiaoqi/index.php?type=mp4
============,http://www.qiqi.bf/xiaoqi/index.php?type=mp4
资源分享群,http://www.qiqi.bf/xiaoqi/index.php?type=mp4
716688848,http://www.qiqi.bf/xiaoqi/index.php?type=mp4
============,http://www.qiqi.bf/xiaoqi/index.php?type=mp4
上次更新时间,http://www.qiqi.bf/xiaoqi/index.php?type=mp4
3.7号 08:45,http://www.qiqi.bf/xiaoqi/index.php?type=mp4

央视频道[V4],#genre#
CCTV-1,http://locmjj.cloudns.org/v/toup.php?id=cctv1
CCTV-1,http://110.253.142.191:8888/rtp/239.253.92.83:8012
CCTV-1,http://60.211.167.226:8888/newlive/live/hls/2/live.m3u8
CCTV-1,http://61.138.128.226:19901/tsfile/live/0001_1.m3u8
CCTV-1,http://112.132.181.221:9988/hls/1/index.m3u8
CCTV-1,http://111.20.35.107:6610/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=3
CCTV-1,http://210.76.37.68:9000/udp/236.78.78.78:59775
CCTV-2,http://locmjj.cloudns.org/v/toup.php?id=cctv2
CCTV-2,http://111.20.35.107:6610/000000001000/1000000001000023315/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3
CCTV-2,http://110.253.142.191:8888/rtp/239.253.92.190:6065
CCTV-2,http://60.211.167.226:8888/newlive/live/hls/3/live.m3u8
CCTV-2,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8
CCTV-2,http://112.132.181.221:9988/hls/2/index.m3u8
CCTV-2,http://210.76.37.68:9000/udp/236.78.78.78:59776
CCTV-3,http://locmjj.cloudns.org/v/toup.php?id=cctv3
CCTV-3,http://111.20.35.107:6610/000000001000/1000000001000011218/index.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=3
CCTV-3,http://110.253.142.191:8888/rtp/239.253.92.191:6057
CCTV-3,http://60.211.167.226:8888/newlive/live/hls/4/live.m3u8
CCTV-3,http://61.138.128.226:19901/tsfile/live/0003_1.m3u8
CCTV-3,http://112.132.181.221:9988/hls/3/index.m3u8
CCTV-4,http://locmjj.cloudns.org/v/toup.php?id=cctv4
CCTV-4,http://111.20.35.107:6610/000000001000/1000000002000031664/index.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=3
CCTV-4,http://110.253.142.191:8888/rtp/239.253.92.251:6141
CCTV-4,http://60.211.167.226:8888/newlive/live/hls/5/live.m3u8
CCTV-4,http://61.138.128.226:19901/tsfile/live/0004_1.m3u8
CCTV-4,http://112.132.181.221:9988/hls/4/index.m3u8
CCTV-5,http://locmjj.cloudns.org/v/toup.php?id=cctv5
CCTV-5,http://111.20.35.107:6610/000000001000/1000000001000004794/index.m3u8?channel-id=ystenlive&Contentid=1000000001000004794&livemode=1&stbId=3
CCTV-5,http://110.253.142.191:8888/rtp/239.253.92.181:6046
CCTV-5,http://60.211.167.226:8888/newlive/live/hls/6/live.m3u8
CCTV-5,http://61.138.128.226:19901/tsfile/live/0005_1.m3u8
CCTV-5,http://112.132.181.221:9988/hls/5/index.m3u8
CCTV-5+,http://locmjj.cloudns.org/v/toup.php?id=cctv5p
CCTV-5+,http://60.211.167.226:8888/newlive/live/hls/7/live.m3u8
CCTV-5+,http://110.253.142.191:8888/rtp/239.253.92.82:8013
CCTV-5+,http://61.138.128.226:19901/tsfile/live/1006_1.m3u8
CCTV-5+,http://112.132.181.221:9988/hls/6/index.m3u8
CCTV-6,http://locmjj.cloudns.org/v/toup.php?id=cctv6
CCTV-6,http://111.20.35.107:6610/000000001000/1000000001000016466/index.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1&stbId=3
CCTV-6,http://110.253.142.191:8888/rtp/239.253.92.193:6058
CCTV-6,http://60.211.167.226:8888/newlive/live/hls/8/live.m3u8
CCTV-6,http://61.138.128.226:19901/tsfile/live/0006_1.m3u8
CCTV-6,http://112.132.181.221:9988/hls/7/index.m3u8
CCTV-7,http://locmjj.cloudns.org/v/toup.php?id=cctv7
CCTV-7,http://111.20.35.107:6610/000000001000/1000000001000024341/index.m3u8?channel-id=ystenlive&Contentid=1000000001000024341&livemode=1&stbId=3
CCTV-7,http://110.253.142.191:8888/rtp/239.253.92.194:6059
CCTV-7,http://60.211.167.226:8888/newlive/live/hls/9/live.m3u8
CCTV-7,http://61.138.128.226:19901/tsfile/live/0008_1.m3u8
CCTV-7,http://112.132.181.221:9988/hls/8/index.m3u8
CCTV-8,http://locmjj.cloudns.org/v/toup.php?id=cctv8
CCTV-8,http://111.20.35.107:6610/000000001000/1000000001000003736/index.m3u8?channel-id=ystenlive&Contentid=1000000001000003736&livemode=1&stbId=3
CCTV-8,http://110.253.142.191:8888/rtp/239.253.92.195:6060
CCTV-8,http://60.211.167.226:8888/newlive/live/hls/10/live.m3u8
CCTV-8,http://61.138.128.226:19901/tsfile/live/0009_1.m3u8
CCTV-8,http://112.132.181.221:9988/hls/9/index.m3u8
CCTV-9,http://locmjj.cloudns.org/v/toup.php?id=cctv9
CCTV-9,http://111.20.35.107:6610/000000001000/1000000001000014583/index.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=3
CCTV-9,http://110.253.142.191:8888/rtp/239.253.92.107:6020
CCTV-9,http://60.211.167.226:8888/newlive/live/hls/11/live.m3u8
CCTV-9,http://61.138.128.226:19901/tsfile/live/0009_2.m3u8
CCTV-9,http://112.132.181.221:9988/hls/10/index.m3u8
CCTV-10,http://locmjj.cloudns.org/v/toup.php?id=cctv10
CCTV-10,http://111.20.35.107:6610/000000001000/1000000001000023734/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023734&livemode=1&stbId=3
CCTV-10,http://110.253.142.191:8888/rtp/239.253.92.196:6061
