央视频道,#genre#

CCTV1,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV2,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV3,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV4,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV5,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV13,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15,http://115.231.206.106:10800/newlive/live/hls/15/live.m3u8
CCTV16,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17,http://xxw.me0.cn/TVOD/bestv.php?id=CCTV17


CCTV1,http://115.231.206.106:10800/newlive/live/hls/2/live.m3u8
CCTV2,http://115.231.206.106:10800/newlive/live/hls/1/live.m3u8
CCTV3,http://115.231.206.106:10800/newlive/live/hls/3/live.m3u8
CCTV4,http://115.231.206.106:10800/newlive/live/hls/4/live.m3u8
CCTV5,http://115.231.206.106:10800/newlive/live/hls/5/live.m3u8
CCTV5+,http://115.231.206.106:10800/newlive/live/hls/44/live.m3u8
CCTV6,http://115.231.206.106:10800/newlive/live/hls/6/live.m3u8
CCTV7,http://115.231.206.106:10800/newlive/live/hls/7/live.m3u8
CCTV8,http://115.231.206.106:10800/newlive/live/hls/8/live.m3u8
CCTV9,http://115.231.206.106:10800/newlive/live/hls/9/live.m3u8
CCTV10,http://115.231.206.106:10800/newlive/live/hls/10/live.m3u8
