📡中国 👉春,#genre#
CCTV-13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-13,http://jh.d7g.cn/v/ysptv.php?id=cctv13
CCTV-13,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226717/1.m3u8
CCTV-13,http://hms184nc1972679575.live.aikan.miguvideo.com/wh7f454c46tw946205927_-649996709/envivo_x/2018/SD/cctv13/2000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208132705&ContentId=265667474&timezone=UTC&mtv_session=36bf599c0c4bc785fd46aaf0ba40ffe7&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=91a8a1c4652526079a5b0e294d5bc18d
凤凰中文,http://113.117.74.20:8081/hls/36/index.m3u8$春盈线路
凤凰中文,https://pull-f5-spe.ixigua.com/live/YesLiveTV-2719dcfb-fa1a-40b8-a736-bbb21e33abb7/.m3u8$春盈f5
凤凰中文,http://111.20.40.166:80/PLTV/88888893/224/3221226547/index.m3u8$春盈极速
凤凰资讯,http://113.117.74.20:8081/hls/36/index.m3u8$春盈线路
凤凰资讯,http://111.20.40.166:80/PLTV/88888893/224/3221226546/index.m3u8$春盈极速
凤凰香港,http://113.117.74.28:8081/hls/38/index.m3u8
凤凰香港,http://lcx-olt.8866.org:8181/tsfile/live/1071_1.m3u8
星空卫视,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18998910474&ptoken=SZESNUL4i2PcZZKV1JA9jw%3D%3D&pserialnumber=63eee104cf9602bf&cid=860&id=xingkong_1500
星空卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.156:2193
香港文旅,http://ali-play.lezhibo.com:80/lezhibo/d803719995ab40df83fca5e638cac7f4.m3u8
高清翡翠,http://r.jdshipin.com/62WM7
杭州明珠,http://hzdx.chiang.fun:3333/tsfile/live/1016_1.m3u8
杭州明珠,http://183.129.242.178:3333/tsfile/live/1016_1.m3u8
TVB明珠,http://r.jdshipin.com/ZQ4kN
J2@频道,http://107.167.12.58:27347/livehttpplay?channel_id=30023
J2@频道,http://107.167.12.58:27347/livehttpplay?channel_id=30030
J2@频道,http://107.167.12.58:27347/livehttpplay?channel_id=20122
ViuTV台,http://107.167.12.58:27347/livehttpplay?channel_id=30032
ViuTV台,http://r.jdshipin.com/vSJvl
ViuTV台,http://107.167.12.58:27347/livehttpplay?channel_id=20131
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
澳門莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
澳門莲花,https://p.ggiptv.com/v/macaulotustv.php
4k👉修复,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
无线财经,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxNR4FqM3EgPoN7yqNVDCIzY/ts
无线财经,http://107.167.12.58:27347/livehttpplay?channel_id=20121
无线财经,http://107.167.12.58:27347/livehttpplay?channel_id=30022
无线财经,http://107.167.12.58:27347/livehttpplay?channel_id=30019
无线财经,http://r.jdshipin.com/jUx8K$特殊线路
⑥港集专线直播,https://ha.jmied.com/aa/aa.flv?auth_key=1661958232-0-0-3d9174957759709f8b53448167c0b6f6
⑥17网21:30播放,https://ccc.apnqpsn.cn/live/629.m3u8
⑥TVB21:30播放,rtmp://bbb.apnqpsn.cn/live/kkk
⑥香港21:30四九,rtmp://www.wfzzxy.top/49/tk_49-RTS?auth_key=2235584561-0-0-477b75f71a8904cd4c2bf43429a76151
@新澳21:30官方,https://play888.00853lhc.live/live/mosixmark.flv
@新澳21:30四九,https://play666.macau-lhc.live/live/mosixmark.flv
@老澳21:32播放,https://aa.jmied.com/aa/aa.flv?auth_key=1661059701-0-0-18edbe2ace26cc97f5e86aaee951497e
@老澳21:32播放,https://vdm6-ali.kavimmensucat.com/live/2032-2.flv
@老澳21:32播放,https://vdm6-hwnon.ntnftchain.com/live/2032-2.flv



📡央视 👉盈,#genre#
CCTV8K,http://jh.d7g.cn/v/ysptv.php?id=cctv8k

CCTV1,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8
CCTV2,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8?
CCTV3,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226720/1.m3u8
CCTV4,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8
CCTV5,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226731/1.m3u8
CCTV5+,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226711/1.m3u8
CCTV6,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226699/1.m3u8
CCTV7,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226721/1.m3u8
CCTV8,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226715/1.m3u8
CCTV9,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226651/1.m3u8
CCTV10,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226708/1.m3u8
CCTV11,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8?
CCTV12,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8?
CCTV13,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226717/1.m3u8
CCTV14,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226663/1.m3u8
CCTV16,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226825/1.m3u8?$8M1080
CCTV17,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226660/1.m3u8?

CCTV1,http://jh.d7g.cn/v/ysptv.php?id=cctv1
CCTV2,http://jh.d7g.cn/v/ysptv.php?id=cctv2
