//本条链接由乌云网盘免费托管 网址 http://fanqie.gq/  站长提醒禁止上传违法违规等内容如有侵权请联系站长我们会及时清理违规内容//


*_**********_*阿威免费直播源【公众号：软件阿威】*_*********_*
．．．．．．．．．．．．．．．．．．．．．．．．．
．．．．．．．．．★︵＿＿＿︵★．．．．．．．．．
．．．．．．．．．／　　　　　＼．．．．．．．．．
．．．．．．．．．︴●　　　●　︴．．．．．．．．
．．．．．．．．．︴≡　﹏　≡　︴．．．．．．．．
．．．．．．．．．＼＿＿＿＿＿／．．．．．．．．．
．．╭╧╮╭╧╮╭╧╮╭╧╮ ╭╧╮╭╧╮╭╧╮╭╧╮．．．．．．．
．．│             工作室：大海软件         ．．．．．．．
．       ╘∞╛╘∞╛╘∞╛╘∞╛╘∞╛╘∞╛╘∞╛．．．．．．．
．．．．．．．．．．．．．．．．．．．．．．．．
//如果你抓包了获取到了直播源，请自用，别公开，谢谢！如不听劝告我会给你弹色情视频到时候尴尬的是你别说我没提醒//
📺双鱼-T V,#genre#
随机直播间,http://zhibotv.cf/su.php
🇨🇳高速-央视,#genre#
CCTV-1,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://221.7.175.154:8445/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://221.7.175.154:8445/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://221.7.175.154:8445/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://221.7.175.154:8445/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://221.7.175.154:8445/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://221.7.175.154:8445/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://221.7.175.154:8445/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://221.7.175.154:8445/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://221.7.175.154:8445/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://221.7.175.154:8445/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://221.7.175.154:8445/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://221.7.175.154:8445/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-新闻,http://221.7.175.154:8445/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-少儿,http://221.7.175.154:8445/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
🌍高速-卫视,#genre#
浙江卫视,http://221.7.175.154:8445/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://221.7.175.154:8445/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://221.7.175.154:8445/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://221.7.175.154:8445/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://221.7.175.154:8445/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://221.7.175.154:8445/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://221.7.175.154:8445/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://221.7.175.154:8445/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://221.7.175.154:8445/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://221.7.175.154:8445/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://221.7.175.154:8445/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://221.7.175.154:8445/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://221.7.175.154:8445/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://221.7.175.154:8445/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://221.7.175.154:8445/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://221.7.175.154:8445/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://221.7.175.154:8445/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://221.7.175.154:8445/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://221.7.175.154:8445/tsfile/live/0113_2.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://221.7.175.154:8445/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://221.7.175.154:8445/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://221.7.175.154:8445/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://221.7.175.154:8445/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰卫视,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://221.7.175.154:8445/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰影视,http://221.7.175.154:8445/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0


🌅地方-频道,#genre#
广东卫视,http://zhibotv.cf/hrtn.php?id=gdws
广东珠江,http://zhibotv.cf/hrtn.php?id=gdzj
大湾区卫视,http://zhibotv.cf/hrtn.php?id=nfws
广东民生,http://zhibotv.cf/hrtn.php?id=gdms
广东新闻http://zhibotv.cf/hrtn.php?id=gdxw
广东经济科教,http://zhibotv.cf/hrtn.php?id=gdjjkj
广东体育,http://zhibotv.cf/hrtn.php?id=gdty
广东少儿,http://zhibotv.cf/hrtn.php?id=gdse
广东影视,http://zhibotv.cf/hrtn.php?id=gdys
嘉佳卡通,http://zhibotv.cf/hrtn.php?id=jjkt
广东国际,http://zhibotv.cf/hrtn.php?id=gdgj
广东移动,http://zhibotv.cf/hrtn.php?id=gdyd
广东综艺4K,http://zhibotv.cf/hrtn.php?id=gdzy
GRTN文化频道,http://zhibotv.cf/hrtn.php?id=gdwh
肇庆综合,http://zhibotv.cf/hrtn.php?id=zqzh
肇庆公共,http://zhibotv.cf/hrtn.php?id=zqgg
惠州新闻综合,http://zhibotv.cf/hrtn.php?id=hzxw
清远综合,http://zhibotv.cf/hrtn.php?id=qyzh
梅州综合,http://zhibotv.cf/hrtn.php?id=mzzh
河源综合,http://zhibotv.cf/hrtn.php?id=hyzh
河源公共,http://zhibotv.cf/hrtn.php?id=hygg
连平台,http://zhibotv.cf/hrtn.php?id=lpzh
阳江-1,http://zhibotv.cf/hrtn.php?id=yjtv1
阳江-2,http://zhibotv.cf/hrtn.php?id=yjtv2
惠东综合,http://zhibotv.cf/hrtn.php?id=hdzh
开平综合,http://zhibotv.cf/hrtn.php?id=kpzh
开平生活http://zhibotv.cf/hrtn.php?id=kpsh
四惠新闻综合,http://zhibotv.cf/hrtn.php?id=shzh
广宁综合,http://zhibotv.cf/hrtn.php?id=gnzh
工布江达县广播电视台,http://zhibotv.cf/hrtn.php?id=gbjd
化州综合,http://zhibotv.cf/hrtn.php?id=hzzh
鹤山综合,http://zhibotv.cf/hrtn.php?id=hszh
廉江综合,http://zhibotv.cf/hrtn.php?id=ljzh
英德新闻综合,http://zhibotv.cf/hrtn.php?id=ydxw
清新综合,http://zhibotv.cf/hrtn.php?id=qxzh
普宁综合,http://zhibotv.cf/hrtn.php?id=pnzh
紫金综合,http://zhibotv.cf/hrtn.php?id=zjzh
连州综合,http://zhibotv.cf/hrtn.php?id=lzzh
阳春综合,http://zhibotv.cf/hrtn.php?id=yczh
佛冈综合,http://zhibotv.cf/hrtn.php?id=fgzh
怀集综合,http://zhibotv.cf/hrtn.php?id=hjzh
惠阳电视台,http://zhibotv.cf/hrtn.php?id=hytv
信宜综合,http://zhibotv.cf/hrtn.php?id=xyzh
徐闻综合,http://zhibotv.cf/hrtn.php?id=xwzh
阳西综合,http://zhibotv.cf/hrtn.php?id=yxzh
台山台,http://zhibotv.cf/hrtn.php?id=tstv
遂溪台,http://zhibotv.cf/hrtn.php?id=sxtv
新会综合,http://zhibotv.cf/hrtn.php?id=xhzh
罗定综合,http://zhibotv.cf/hrtn.php?id=ldzh
和平综合,http://zhibotv.cf/hrtn.php?id=hpzh
东源台,http://zhibotv.cf/hrtn.php?id=dytv
吴川综合,http://zhibotv.cf/hrtn.php?id=wczh
乐昌电视台,http://zhibotv.cf/hrtn.php?id=lctv
潮安综合,http://zhibotv.cf/hrtn.php?id=cazh
恩平综合,http://zhibotv.cf/hrtn.php?id=epzh
四海钓鱼,http://zhibotv.cf/migu.php?id=shdy
江苏教育,http://zhibotv.cf/migu.php?id=jsjy
河南卫视,http://zhibotv.cf/dax.php?id=hnws
河南都市,http://zhibotv.cf/dax.php?id=hnds
河南民生,http://zhibotv.cf/dax.php?id=hnms
河南法治,http://zhibotv.cf/dax.php?id=hnfz
河南电视剧,http://zhibotv.cf/dax.php?id=hndsj
河南新闻,http://zhibotv.cf/dax.php?id=hnxw
欢腾购物,http://zhibotv.cf/dax.php?id=htgw
河南公共,http://zhibotv.cf/dax.php?id=hngg
河南乡村,http://zhibotv.cf/dax.php?id=hnxc
河南国际,http://zhibotv.cf/dax.php?id=hngj
河南梨园,http://zhibotv.cf/dax.php?id=hnly
文物宝库,http://zhibotv.cf/dax.php?id=wwbk
武术世界,http://zhibotv.cf/dax.php?id=wspd
睛彩中原,http://zhibotv.cf/dax.php?id=jczy
移动戏曲,http://zhibotv.cf/dax.php?id=ydxj
象视界,http://zhibotv.cf/dax.php?id=xsj
国学频道,http://zhibotv.cf/dax.php?id=gxpd
成都新闻频道,http://zhibotv.cf/sichuan.php?id= xwpd
成都经济频道,http://zhibotv.cf/sichuan.php?id= jjpd
成都生活频道,http://zhibotv.cf/sichuan.php?id= shpd
成都影视频道,http://zhibotv.cf/sichuan.php?id= yspd
成都公共频道,http://zhibotv.cf/sichuan.php?id= ggpd
成都少儿频道,http://zhibotv.cf/sichuan.php?id= sepd
成都蓉城先锋,http://zhibotv.cf/sichuan.php?id= rcxf
山东教育卫视,http://zhibotv.cf/migu.php?id=sdjy
游戏风云HD,http://zhibotv.cf/migu.php?id=yxfy
欢笑剧场4K,http://zhibotv.cf/migu.php?id=hxjc
东方购物,http://zhibotv.cf/migu.php?id=dfgw
之江纪录,http://zhibotv.cf/migu.php?id=zjjl
杭州综合,http://zhibotv.cf/migu.php?id=hzzh
杭州明珠,http://zhibotv.cf/migu.php?id=hzmz
杭州生活,http://zhibotv.cf/migu.php?id=hzsh
杭州影视,http://zhibotv.cf/migu.php?id=hzys
