央视卫视,#genre#
CCTV1,http://xuys.top:8888/udp/225.1.1.12:5002
CCTV1,http://xuys.top:8888/udp/225.1.1.120:5002
CCTV2,http://xuys.top:8888/udp/225.1.1.13:5002
CCTV2,http://xuys.top:8888/udp/225.1.1.133:5002
CCTV3,http://xuys.top:8888/udp/225.1.1.14:5002
CCTV3,http://xuys.top:8888/udp/225.1.1.158:5002
CCTV4,http://xuys.top:8888/udp/225.1.1.15:5002
CCTV4,http://xuys.top:8888/udp/225.1.1.150:5002
CCTV5,http://xuys.top:8888/udp/225.1.1.16:5002
CCTV5+,http://xuys.top:8888/udp/225.1.1.121:5002
CCTV5,http://xuys.top:8888/udp/225.1.1.160:5002
CCTV6,http://xuys.top:8888/udp/225.1.1.17:5002
CCTV6,http://xuys.top:8888/udp/225.1.1.195:5002
CCTV7,http://xuys.top:8888/udp/225.1.1.18:5002
CCTV7,http://xuys.top:8888/udp/225.1.1.138:5002
CCTV8,http://xuys.top:8888/udp/225.1.1.19:5002
CCTV8,http://xuys.top:8888/udp/225.1.1.196:5002
CCTV9,http://xuys.top:8888/udp/225.1.1.20:5002
CCTV9,http://xuys.top:8888/udp/225.1.1.119:5002
CCTV10,http://xuys.top:8888/udp/225.1.1.21:5002
CCTV10,http://xuys.top:8888/udp/225.1.1.140:5002
CCTV11,http://xuys.top:8888/udp/225.1.1.22:5002
CCTV11,http://xuys.top:8888/udp/225.1.2.192:5002
CCTV12,http://xuys.top:8888/udp/225.1.1.23:5002
CCTV12,http://xuys.top:8888/udp/225.1.1.142:5002
CCTV13,http://xuys.top:8888/udp/225.1.1.24:5002
CCTV13,http://xuys.top:8888/udp/225.1.2.193:5002
CCTV14,http://xuys.top:8888/udp/225.1.1.25:5002
CCTV14,http://xuys.top:8888/udp/225.1.1.144:5002
CCTV15,http://xuys.top:8888/udp/225.1.1.26:5002
CCTV15,http://xuys.top:8888/udp/225.1.2.194:5002
CCTV16,http://xuys.top:8888/udp/225.1.2.237:5002
CCTV17,http://xuys.top:8888/udp/225.1.2.52:5002
CCTV兵器科技,http://xuys.top:8888/udp/225.1.2.166:5002
CCTV第一剧场,http://xuys.top:8888/udp/225.1.2.175:5002
CCTV电视指南,http://xuys.top:8888/udp/225.1.2.167:5002
CCTV发现之旅,http://xuys.top:8888/udp/225.1.1.183:5002
CCTV风云剧场,http://xuys.top:8888/udp/225.1.2.174:5002
CCTV风云音乐,http://xuys.top:8888/udp/225.1.2.176:5002
CCTV风云足球,http://xuys.top:8888/udp/225.1.2.168:5002
CCTV高尔夫网球,http://xuys.top:8888/udp/225.1.2.169:5002
CCTV怀旧剧场,http://xuys.top:8888/udp/225.1.2.173:5002
CCTV女性时尚,http://xuys.top:8888/udp/225.1.2.172:5002
CCTV世界地理,http://xuys.top:8888/udp/225.1.2.171:5002
CCTV央视台球,http://xuys.top:8888/udp/225.1.2.170:5002
CCTV央视文化精品,http://xuys.top:8888/udp/225.1.2.177:5002
CGTN,http://xuys.top:8888/udp/225.1.1.27:5002
CGTN Documentary,http://xuys.top:8888/udp/225.1.1.55:5002
CHC动作电影,http://xuys.top:8888/udp/225.1.1.221:5002
CHC动作电影,http://xuys.top:8888/udp/225.1.1.215:5002
CHC高清电影,http://xuys.top:8888/udp/225.1.1.214:5002
CHC家庭影院,http://xuys.top:8888/udp/225.1.1.220:5002
CHC家庭影院,http://xuys.top:8888/udp/225.1.1.213:5002

卡酷少儿,http://xuys.top:8888/udp/225.1.1.58:5002
北京卫视,http://xuys.top:8888/udp/225.1.1.47:5002
北京卫视,http://xuys.top:8888/udp/225.1.1.113:5002
滨海1,http://xuys.top:8888/udp/225.1.2.7:5002
滨海2,http://xuys.top:8888/udp/225.1.2.8:5002
兵团卫视,http://xuys.top:8888/udp/225.1.1.57:5002
财富天下,http://xuys.top:8888/udp/225.1.2.198:5002
茶,http://xuys.top:8888/udp/225.1.2.19:5002
超清乐享U,http://xuys.top:8888/udp/225.1.2.190:5002
潮流音乐,http://xuys.top:8888/udp/225.1.2.55:5002
车迷,http://xuys.top:8888/udp/225.1.2.199:5002
大港油田,http://xuys.top:8888/udp/225.1.2.14:5002
第一财经,http://xuys.top:8888/udp/225.1.1.247:5002
