山东联通,#genre#
CCTV1,http://221.1.143.246:9998/udp/239.253.250.77:8000
CCTV2,http://221.1.143.246:9998/udp/239.253.250.234:8000
CCTV3,http://221.1.143.246:9998/udp/239.253.250.4:8000
CCTV4,http://221.1.143.246:9998/udp/239.253.250.111:8000
CCTV5,http://221.1.143.246:9998/udp/239.253.250.6:8000
CCTV5+,http://221.1.143.246:9998/udp/239.253.250.80:8000
CCTV6,http://221.1.143.246:9998/udp/239.253.250.7:8000
CCTV7,http://221.1.143.246:9998/udp/239.253.250.235:8000
CCTV8,http://221.1.143.246:9998/udp/239.253.250.9:8000
CCTV9,http://221.1.143.246:9998/udp/239.253.250.79:8000
CCTV10,http://221.1.143.246:9998/udp/239.253.250.236:8000
CCTV11,http://221.1.143.246:9998/udp/239.253.250.12:8000
CCTV12,http://221.1.143.246:9998/udp/239.253.250.237:8000
CCTV13,http://221.1.143.246:9998/udp/239.253.250.14:8000
CCTV14,http://221.1.143.246:9998/udp/239.253.250.238:8000
CCTV15,http://221.1.143.246:9998/udp/239.253.250.16:8000
CCTV17,http://221.1.143.246:9998/udp/239.253.250.168:8000
CGTV,http://221.1.143.246:9998/udp/239.253.250.17:8000
CETV1,http://221.1.143.246:9998/udp/239.253.250.110:8000
CETV2,http://221.1.143.246:9998/udp/239.253.250.107:8000
CETV4,http://221.1.143.246:9998/udp/239.253.250.108:8000
山东卫视,http://221.1.143.246:9998/udp/239.253.250.78:8000
湖南卫视,http://221.1.143.246:9998/udp/239.253.250.82:8000
江苏卫视,http://221.1.143.246:9998/udp/239.253.250.83:8000
浙江卫视,http://221.1.143.246:9998/udp/239.253.250.84:8000
北京卫视,http://221.1.143.246:9998/udp/239.253.250.85:8000
东方卫视,http://221.1.143.246:9998/udp/239.253.250.86:8000
安徽卫视,http://221.1.143.246:9998/udp/239.253.250.87:8000
湖北卫视,http://221.1.143.246:9998/udp/239.253.250.88:8000
天津卫视,http://221.1.143.246:9998/udp/239.253.250.89:8000
广东卫视,http://221.1.143.246:9998/udp/239.253.250.90:8000
深圳卫视,http://221.1.143.246:9998/udp/239.253.250.91:8000
辽宁卫视,http://221.1.143.246:9998/udp/239.253.250.92:8000
黑龙江卫视,http://221.1.143.246:9998/udp/239.253.250.93:8000
东南卫视,http://221.1.143.246:9998/udp/239.253.250.105:8000
旅游卫视,http://221.1.143.246:9998/udp/239.253.250.35:8000
重庆卫视,http://221.1.143.246:9998/udp/239.253.250.38:8000
广西卫视,http://221.1.143.246:9998/udp/239.253.250.40:8000
云南卫视,http://221.1.143.246:9998/udp/239.253.250.42:8000
河南卫视,http://221.1.143.246:9998/udp/239.253.250.44:8000
吉林卫视,http://221.1.143.246:9998/udp/239.253.250.46:8000
江西卫视,http://221.1.143.246:9998/udp/239.253.250.47:8000
山西卫视,http://221.1.143.246:9998/udp/239.253.250.48:8000
陕西卫视,http://221.1.143.246:9998/udp/239.253.250.49:8000
四川卫视,http://221.1.143.246:9998/udp/239.253.250.50:8000
甘肃卫视,http://221.1.143.246:9998/udp/239.253.250.52:8000
宁夏卫视,http://221.1.143.246:9998/udp/239.253.250.53:8000
青海卫视,http://221.1.143.246:9998/udp/239.253.250.54:8000
西藏卫视,http://221.1.143.246:9998/udp/239.253.250.56:8000
兵团卫视,http://221.1.143.246:9998/udp/239.253.250.57:8000
内蒙古卫视,http://221.1.143.246:9998/udp/239.253.250.58:8000
山东教育卫视,http://221.1.143.246:9998/udp/239.253.250.59:8000
新疆卫视,http://221.1.143.246:9998/udp/239.253.250.60:8000
农林卫视,http://221.1.143.246:9998/udp/239.253.250.70:8000
河北卫视,http://221.1.143.246:9998/udp/239.253.250.112:8000
贵州卫视,http://221.1.143.246:9998/udp/239.253.250.113:8000
厦门卫视,http://221.1.143.246:9998/udp/239.253.250.106:8000
CCTV1,http://sgl.vpsyun.cc:4000/udp/239.253.238.77:8000
CCTV2,http://sgl.vpsyun.cc:4000/udp/239.253.238.234:8000
CCTV3,http://sgl.vpsyun.cc:4000/udp/239.253.238.4:8000
CCTV4,http://sgl.vpsyun.cc:4000/udp/239.253.238.111:8000
CCTV5,http://sgl.vpsyun.cc:4000/udp/239.253.238.6:8000
CCTV5+,http://sgl.vpsyun.cc:4000/udp/239.253.238.80:8000
CCTV6,http://sgl.vpsyun.cc:4000/udp/239.253.238.7:8000
CCTV7,http://sgl.vpsyun.cc:4000/udp/239.253.238.235:8000
CCTV8,http://sgl.vpsyun.cc:4000/udp/239.253.238.9:8000
CCTV9,http://sgl.vpsyun.cc:4000/udp/239.253.238.79:8000
CCTV10,http://sgl.vpsyun.cc:4000/udp/239.253.238.236:8000
CCTV11,http://sgl.vpsyun.cc:4000/udp/239.253.238.12:8000
CCTV12,http://sgl.vpsyun.cc:4000/udp/239.253.238.237:8000
CCTV13,http://sgl.vpsyun.cc:4000/udp/239.253.238.14:8000
CCTV14,http://sgl.vpsyun.cc:4000/udp/239.253.238.238:8000
CCTV15,http://sgl.vpsyun.cc:4000/udp/239.253.238.16:8000
CCTV17,http://sgl.vpsyun.cc:4000/udp/239.253.238.168:8000
CGTV,http://sgl.vpsyun.cc:4000/udp/239.253.238.17:8000
CETV1,http://sgl.vpsyun.cc:4000/udp/239.253.238.110:8000
CETV2,http://sgl.vpsyun.cc:4000/udp/239.253.238.107:8000
CETV4,http://sgl.vpsyun.cc:4000/udp/239.253.238.108:8000
山东卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.78:8000
