辽宁联通,#genre#
CCTV-1高清,http://42.179.40.167:9901/tsfile/live/1156_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2高清,http://42.179.40.167:9901/tsfile/live/1157_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3高清,http://42.179.40.167:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4高清,http://42.179.40.167:9901/tsfile/live/1158_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5高清,http://42.179.40.167:9901/tsfile/live/1004_1.m3u8
CCTV-6高清,http://42.179.40.167:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7高清,http://42.179.40.167:9901/tsfile/live/1159_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8高清,http://42.179.40.167:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9高清,http://42.179.40.167:9901/tsfile/live/1160_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10高清,http://42.179.40.167:9901/tsfile/live/1161_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11高清,http://42.179.40.167:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12高清,http://42.179.40.167:9901/tsfile/live/1162_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13高清,http://42.179.40.167:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14高清,http://42.179.40.167:9901/tsfile/live/1163_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15高清,http://42.179.40.167:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16高清,http://42.179.40.167:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17高清,http://42.179.40.167:9901/tsfile/live/1164_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+高清,http://42.179.40.167:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视高清,http://42.179.40.167:9901/tsfile/live/1165_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁北方,http://42.179.40.167:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁都市,http://42.179.40.167:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁公共,http://42.179.40.167:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁经济,http://42.179.40.167:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁生活,http://42.179.40.167:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁体育,http://42.179.40.167:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁影视剧,http://42.179.40.167:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
移动电视,http://42.179.40.167:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
沈阳新闻,http://42.179.40.167:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
北京高清,http://42.179.40.167:9901/tsfile/live/1151_1.m3u8?key=txiptv&playlive=1&authid=0
天津高清,http://42.179.40.167:9901/tsfile/live/1129_1.m3u8?key=txiptv&playlive=1&authid=0
湖南高清,http://42.179.40.167:9901/tsfile/live/1143_1.m3u8?key=txiptv&playlive=1&authid=0
浙江高清,http://42.179.40.167:9901/tsfile/live/1128_1.m3u8?key=txiptv&playlive=1&authid=0
江苏高清,http://42.179.40.167:9901/tsfile/live/1140_1.m3u8?key=txiptv&playlive=1&authid=0
安徽高清,http://42.179.40.167:9901/tsfile/live/1152_1.m3u8?key=txiptv&playlive=1&authid=0
