电信央卫,#genre#
CCTV1,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.1:8000
CCTV2,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.2:8008
CCTV3,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.3:9566
CCTV4,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.4:8024
CCTV5,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.5:9570
CCTV6,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.6:9574
CCTV7,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.8.126:8000
CCTV8,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.8:9578
CCTV9,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.8.53:9814
CCTV10,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.10:8072
CCTV11,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.11:8080
CCTV12,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.12:8088
CCTV新闻,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.13:8096
CCTV少儿,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.14:8104
CCTV音乐,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.15:8112
东方卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.48:8376
北京卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.49:8384
浙江卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.50:8392
辽宁卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.51:8400
安徽卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.52:8408
山东卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.53:8416
湖南卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.54:8424
广东卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.55:8432
广西卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.56:8440
海南卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.57:8448
重庆卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.58:8456
四川卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.59:8464
河南卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.60:8472
东南卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.61:8480
天津卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.62:8488
江西卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.63:8496
湖北卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.64:8504
吉林卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.65:8512
黑龙江卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.66:8520
山西卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.67:8528
贵州卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.68:8536
青海卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.69:8544
CETV1,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.70:8552
CETV2,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.71:8560
空中课堂,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.72:8568
中国气象,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.76:8600
深圳卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.100:8788
云南卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.147:8000
河北卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.170:8000
宁夏卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.171:8000
甘肃卫视,http://jiangsudianxin01.shualian.work:8888/rtp/239.49.0.172:8000

移动央卫,#genre#
CCTV1,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.66.66/PLTV/88888888/224/3221225706/index.m3u8
CCTV2,http://39.134.66.66/PLTV/88888888/224/3221225599/index.m3u8
CCTV3,http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8
CCTV5,http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV6,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV8,http://39.134.66.66/PLTV/88888888/224/3221225795/index.m3u8
CCTV9,http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8
CCTV10,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://39.134.66.66/PLTV/88888888/224/3221225517/index.m3u8
CCTV12,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV13,http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8
CCTV14,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV15,http://39.134.66.66/PLTV/88888888/224/3221225513/index.m3u8
CCTV17,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8
CGTN,http://39.134.66.66/PLTV/88888888/224/3221225510/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
吉林卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
