👉公        告,#genre#
感谢赞助,https://pan.miaogongzi.net/f/OmhY/video_240104_092138.mp4
维护不易,https://txmov2.a.kwimgs.com/bs3/video-hls/5224738634289133629_hlsb.m3u8
您现在使用的是,https://txmov2.a.kwimgs.com/bs3/video-hls/5248945482836176798_hlsb.m3u8
电视家3.10.32版,https://txmov2.a.kwimgs.com/bs3/video-hls/5198561464421856962_hlsb.m3u8
此版本是会员群,https://txmov2.a.kwimgs.com/bs3/video-hls/5242753034343486289_hlsb.m3u8
内部独享娱乐版本,https://txmov2.a.kwimgs.com/bs3/video-hls/5212072260092057079_hlsb.m3u8
禁止外部扩散,https://txmov2.a.kwimgs.com/bs3/video-hls/5221079466801340603_hlsb.m3u8
发现版本即将失效,https://txmov2.a.kwimgs.com/bs3/video-hls/5241064182578720047_hlsb.m3u8
谢谢配合,https://txmov2.a.kwimgs.com/bs3/video-hls/5197998517345643200_hlsb.m3u8
禁止商用,https://txmov2.a.kwimgs.com/bs3/video-hls/5192369016761410134_hlsb.m3u8

后果自负,https://txmov2.a.kwimgs.com/bs3/video-hls/5235434687457682414_hlsb.m3u8
关注微信公众号,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420289973348642_hlsb.m3u8
蚂蚁的日常,https://txmov2.a.kwimgs.com/bs3/video-hls/5247538111487735605_hlsb.m3u8
获取更多电视神器,https://txmov2.a.kwimgs.com/bs3/video-hls/5214324064628880303_hlsb.m3u8
 🎡生活原理,#genre#
电机原理,https://cccimg.com/down.php/5bdf0dad23bf5ea7e17a1f525e85dafb.mp4
滑轮原理,https://cccimg.com/down.php/6cab62ae809f72d9e77a270d7d10708d.mp4
钥匙原理,https://cccimg.com/down.php/441bfebb051afe72a641e9403536d5c2.mp4
人工降雨,https://cccimg.com/down.php/d236e8f36bb254b0128cd8c6152216fa.mp4
水泥原理,https://cccimg.com/down.php/5cb837770d12c438b432b87b9e1029c5.mp4
雕像建造,https://cccimg.com/down.php/aceaf1b8b57468656aa520c47d3e5b11.mp4
加油枪,https://cccimg.com/down.php/f6e509840e81ff719aca0ae70bc5e86b.mp4
粉尘爆炸,https://cccimg.com/down.php/c19b63ee2ce3fe18df61c4d3dee333f2.mp4
👉恭贺新春,#genre#

CCTV13,http://tvbox6.com/tv/cctv13.m3u8
中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8

电影轮播1,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1/85894rmovieChow_900p.m3u8
电影轮播2,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1a/122402rK7MO9bXSq_900.m3u8
电影轮播3,http://gangbaoting.7766.org:8084/0.ts

公众号：蚂蚁的日常,https://gitee.com/tv2785/tvbox/raw/master/gg.mp4
中国电信 ,#genre#
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
