央视频道 ,#genre#
CCTV1,http://plex.home.yulei.online:9999/rtp/226.0.2.153:9136
CCTV2,http://plex.home.yulei.online:9999/rtp/226.0.2.154:9144
CCTV3,http://plex.home.yulei.online:9999/rtp/226.0.2.208:9576
CCTV4,http://plex.home.yulei.online:9999/rtp/226.0.2.156:9160
CCTV5,http://plex.home.yulei.online:9999/rtp/226.0.2.209:9584
CCTV6,http://plex.home.yulei.online:9999/rtp/226.0.2.210:9592
CCTV7,http://plex.home.yulei.online:9999/rtp/226.0.2.159:9184
CCTV8,http://plex.home.yulei.online:9999/rtp/226.0.2.211:9600
CCTV9,http://plex.home.yulei.online:9999/rtp/226.0.2.161:9200
CCTV10,http://plex.home.yulei.online:9999/rtp/226.0.2.162:9208
CCTV12,http://plex.home.yulei.online:9999/rtp/226.0.2.164:9224
CCTV13,http://plex.home.yulei.online:9999/rtp/226.0.2.165:9232
CCTV14,http://plex.home.yulei.online:9999/rtp/226.0.2.166:9240
CCTV5+,http://plex.home.yulei.online:9999/rtp/226.0.2.168:9256
CCTV16,http://plex.home.yulei.online:9999/rtp/226.0.2.169:9264
CCTV17,http://plex.home.yulei.online:9999/rtp/226.0.2.170:9272
CCTV1,http://plex.home.yulei.online:9999/rtp/226.0.2.16:8040
CCTV1,http://plex.home.yulei.online:9999/rtp/226.0.2.18:8056
CCTV2,http://plex.home.yulei.online:9999/rtp/226.0.2.19:8064
CCTV3,http://plex.home.yulei.online:9999/rtp/226.0.2.20:8072
CCTV4,http://plex.home.yulei.online:9999/rtp/226.0.2.21:8080
CCTV5,http://plex.home.yulei.online:9999/rtp/226.0.2.22:8088
CCTV6,http://plex.home.yulei.online:9999/rtp/226.0.2.23:8096
CCTV7,http://plex.home.yulei.online:9999/rtp/226.0.2.24:8104
CCTV8,http://plex.home.yulei.online:9999/rtp/226.0.2.25:8112
CCTV9,http://plex.home.yulei.online:9999/rtp/226.0.2.26:8120
CCTV10,http://plex.home.yulei.online:9999/rtp/226.0.2.27:8128
CCTV11,http://plex.home.yulei.online:9999/rtp/226.0.2.28:8136
CCTV12,http://plex.home.yulei.online:9999/rtp/226.0.2.29:8144
CCTV13,http://plex.home.yulei.online:9999/rtp/226.0.2.30:8152
CCTV14,http://plex.home.yulei.online:9999/rtp/226.0.2.31:8160
CCTV15,http://plex.home.yulei.online:9999/rtp/226.0.2.32:8168
CCTV17,http://plex.home.yulei.online:9999/rtp/226.0.2.207:9568
卫视频道 ,#genre#
湖南卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.143:9056
浙江卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.144:9064
安徽卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.145:9072
广东卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.146:9080
深圳卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.147:9088
天津卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.148:9096
山东卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.149:9104
湖北卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.150:9112
黑龙江卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.151:9120
山西卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.152:9128
金鹰卡通,http://plex.home.yulei.online:9999/rtp/226.0.2.172:9288
辽宁卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.173:9296
重庆卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.174:9304
东方卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.175:9312
江苏卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.176:9320
北京卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.177:9328
河北卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.178:9336
四川卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.179:9344
贵州卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.180:9352
湖南卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.33:8176
东方卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.34:8184
辽宁卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.35:8192
浙江卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.36:8200
安徽卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.37:8208
江苏卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.38:8216
北京卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.39:8224
东南卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.40:8232
金鹰卡通,http://plex.home.yulei.online:9999/rtp/226.0.2.41:8240
四川卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.42:8248
贵州卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.43:8256
哈哈炫动,http://plex.home.yulei.online:9999/rtp/226.0.2.44:8264
广东卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.45:8272
广西卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.46:8280
深圳卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.47:8288
黑龙江卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.48:8296
湖北卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.49:8304
重庆卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.50:8312
山东卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.51:8320
河南卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.52:8328
陕西卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.53:8336
江西卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.54:8344
甘肃卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.55:8352
天津卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.56:8360
卡酷卡通,http://plex.home.yulei.online:9999/rtp/226.0.2.57:8368
吉林卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.58:8376
青海卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.59:8384
云南卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.60:8392
海南卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.61:8400
兵团卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.62:8408
内蒙古卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.63:8416
宁夏卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.64:8424
河北卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.65:8432
西藏卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.66:8440
新疆卫视,http://plex.home.yulei.online:9999/rtp/226.0.2.67:8448

红色-老片,#genre#
地雷战,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/a90c788a458e40508615d711b8aae1af/850.m3u8
地道战,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/312e39c68cc441feb79d1c2d7e16cbbd/850.m3u8
跟踪追击,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/059096230b4e46c0b5d4929ff98435d0/850.m3u8
红牡丹,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/921b8081b58b4c2f81fb233b6c8e89ac/850.m3u8
侦察兵,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/3e4727a0fca34aa8b9774472a4908eaf/850.m3u8
三毛流浪记,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/b9ce94c233b043bebe30340f09868ed1/850.m3u8
红色娘子军,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/2ea3b03b3a414303b830f92579243001/850.m3u8
五朵金花,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/ae639196cf3949368c1b05776bb1d4fa/850.m3u8
洪湖赤卫队,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/2a58afdece3342eaac927648a2cccabd/850.m3u8
狼牙山五壮士,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/71c649af833c43a9b61e4f5c913bbd6b/850.m3u8
战上海,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/e84b188d1bf7484fb4907d99827cbd45/850.m3u8
铁道游击队,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/46d8664dacad4dbb9c790256688048dc/850.m3u8
红孩子,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/bf55b84744d64eeaaedc5ea603855597/850.m3u8
宝葫芦的秘密,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/866474add7224067877bed430d9380ab/850.m3u8
董存瑞,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/b657281ba44a4b279f55ec860c12543b/850.m3u8
地下尖兵,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/188d5706e5774f06850e06e4f181c4bd/850.m3u8
三毛从军记,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/919a08437d44499b87b7b4903f2b2ae6/850.m3u8
小兵张嘎,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/d8c05f3ca36d48e6b1997b523e885c5c/850.m3u8
闪闪的红星,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/b90fcf1a5425479baf3a045282a1f263/850.m3u8
祖国的花朵,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/ef10a9a9b1534fe38fd4fdfdac1ed493/850.m3u8
花儿朵朵,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/53a44d8649024b58b69f4468b922b8f0/850.m3u8
上甘岭,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/c91f7aae9b8b4c578a7d9ecdf94b9dca/850.m3u8
平原游击队,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/180ef18dec9a4edeb9d2b520d57cfc7f/850.m3u8
神秘的旅伴,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/ef95b9f13e2c47b882b67ef52139786a/850.m3u8
前哨,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/1e9c4ffe4002492484c0f50235299759/850.m3u8
刘三姐,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/680e102dc8614632862cf49a236def6e/850.m3u8
赛虎,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/34505162ca0848af9e23d33ed4018088/850.m3u8
犬王,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/08d97be6d296434098297a505e2f05b5/850.m3u8
特别攻击队,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/c69eed95a2cd4752850bcac109151e37/850.m3u8
举起手来-追击阿多丸,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/a1093561ad0a4071b68eeae884de01e7/850.m3u8
鸡毛信,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/41fcf9fefcf247c78e2d64c7af5d6edd/850.m3u8
马兰花,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/c89d105b9661464bb8c5c5f46977f6c4/850.m3u8
南征北战,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/9557e1bfd91b4319975dfeffcc44d6b7/850.m3u8
羊城暗哨,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/215e7a6713884bcab8cc461e245531af/850.m3u8
冰山上的来客,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/c86d45b176d642738dabf9da7361653b/850.m3u8
51号兵站,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/fa6557276d644b5ea399956a6bf94e59/850.m3u8
红日,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/f2ee6e22cd894be1bc8c90b19f47ae2e/850.m3u8
战火中的青春,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/be0d797e3b494f5fa1cb6d48d29643f3/850.m3u8
英雄虎胆,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/b7fcd0d4ebb045fe8e653ee71b4ef8fc/850.m3u8
突破乌江,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/bf8ccfff8bc949a6a2ed6bcda45eb4e2/850.m3u8
三进山城,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/ee157540ff2540ada0250edf3f6a3e0a/850.m3u8
苦菜花,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/ec47d310d888464f8446af5e6e04ded8/850.m3u8
智取华山,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/ef243e3fa20544df9cc24b72ace8efa0/850.m3u8
渡江侦察记,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/d708e9c64aa34519af5490a793756c38/850.m3u8
奇袭,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/ac8b28fb66104aa7a5e3cd5a10ea986b/850.m3u8
小花,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/f97fb71bff5947ddaf905cc121c42ee4/850.m3u8
少林寺,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/8af9ff377238407e927e597a1af47788/850.m3u8
英雄儿女,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/479d044b7a3d465fa3a5b850d36b219c/850.m3u8
大气层消失,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/45122e56521f49b68020e3e66bc28ce8/850.m3u8
霹雳贝贝,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/7accc94d5590415284af5db904e4be5a/850.m3u8
泉水叮咚,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/8b039f6988a04ca8b086d35031a77204/850.m3u8
柳堡的故事,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/706b979b8a934aaab677a11c410bb119/850.m3u8
李双双,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/bac928d747984ed3bd17550879522f89/850.m3u8
