测试频道,#genre#
红尘事-冯提莫,https://us-xpc11.xpccdn.com/59fbfe8e-c4f3-41c3-9b7a-c6d2eec1fa49.mp4
欧若拉,https://vd3.bdstatic.com/mda-kife2iqvj58uu623/sc/mda-kife2iqvj58uu623.mp4
来迟,https://vd4.bdstatic.com/mda-mf4bu6gfbtwbfqq5/720p/h264/1622881458967201202/mda-mf4bu6gfbtwbfqq5.mp4
醒不来的梦,https://vd3.bdstatic.com/mda-ph4i34yfm5ysneeu/sc/bd265_cae_roi_v6/1703276550041994496/mda-ph4i34yfm5ysneeu.mp4
消愁,https://vd2.bdstatic.com/mda-kgd8d51khiy6utgw/v1-cae/1080p/mda-kgd8d51khiy6utgw.mp4
猜不透,https://vd3.bdstatic.com/mda-kfkjmyyuw1v4j1zn/v1-cae/1080p/mda-kfkjmyyuw1v4j1zn.mp4


公益性纯免费App，无密码，不推广，看到请别公开，谢谢！
梦TV公告,#genre#
公益性纯免费,http://live.dxms.top/dwy/jddh.php
谁买谁上当！,https://vd3.bdstatic.com/mda-kh3y3jtk08aft3v5/v1-cae/sc/mda-kh3y3jtk08aft3v5.mp4

切换线路,#genre#
按返回键进设置,
线路设置,
节目地址一，
为此默认,
节目地址二,
为V6网混合,
节目地址三,
为晴天源,


交流联系,#genre#
Q群一,http://www.
217386438,http://www.
Q群二,http://www.
535499739,http://www.
影视群,http://www.
808097980,http://www.

